City,State,Sales,Profit,Profit_Margin
New York City,New York,256368.161,62036.9837,0.24198396344544515
Los Angeles,California,175851.34100000001,30440.757899999997,0.17310506548824098
Seattle,Washington,119540.742,29156.0967,0.24390091789793306
San Francisco,California,112669.092,17507.385399999996,0.1553876497025466
Detroit,Michigan,42446.943999999996,13181.790799999999,0.31054746367606584
Lafayette,Indiana,19630.449999999997,8976.0973,0.45725377156407526
Newark,Delaware,20448.05,8086.1715,0.3954495171911258
Atlanta,Georgia,17197.84,6993.662899999999,0.40665937699152915
Minneapolis,Minnesota,16870.54,6824.5846,0.40452674306809383
San Diego,California,47521.029,6377.195999999998,0.13419734661048685
Jackson,Michigan,15420.036,5525.1992,0.35831298967136005
Providence,Rhode Island,15980.65,5505.6569,0.34452021037942765
Springfield,Virginia,16628.53,4568.5788999999995,0.274743401852118
Henderson,Kentucky,15661.01,4518.8169,0.28853930238215797
Arlington,Virginia,14366.76,4424.085499999999,0.3079389855471936
Columbus,Georgia,14845.05,4104.1219,0.27646399978444
Springfield,Missouri,15051.38,3905.5891,0.2594837881974942
Columbia,Maryland,10962.35,3775.2236999999996,0.3443808763631885
Lakewood,New Jersey,14852.04,3526.6734999999994,0.2374538110589521
Milwaukee,Wisconsin,11410.22,2793.0851,0.2447880146044511
